Number	Text	Original text in English (This column is ignored during the import)
500053	Alvo não encontrado.	Target not found.
500054	Alvo não encontrado.	Target not found.
500055	Alvo não encontrado.	Target not found.
500056	Combate iniciado	Fight started
500057	Alvo não encontrado.	Target not found.
500058	Tempestade de teleporte iniciada.	Teleport storm started.
500059	Objeto não encontrado	Object not found
500060	Objeto não encontrado	Object not found
500061	Objeto não encontrado	Object not found
500062	Uso: getplayers num x y z	Usage: getplayers num x y z
500063	Jogador não encontrado	Player not found
500064	Jogador não encontrado	Player not found
500065	Objeto não encontrado	Object not found
500066	Uso: multi_repos id x y z	Usage: multi_repos id x y z
500067	Feito!	Done!
500068	Multi template id inválido	Invalid multi template id
500069	Uso: multi_nosend id value	Usage: multi_nosend id value
500070	Feito!	Done!
500071	Inválida vários id template	Invalid multi template id
500072	Uso: decay_test valor	Usage: decay_test value
500073	teste de decomposição on!	Decay test on!
500074	teste de decomposição off!	Decay test off!
500075	Começando atrofia.	Starting atrophy.
500076	local de transferência inválida	Invalid transfer location
500077	local de transferência inválida	Invalid transfer location
500078	jogador de prisão	Jailing player
500079	Você não definiu jogador atual, desculpe	You have no current player set, sorry
500080	Vítima não tem local definido unjail, use release.	Victim has no unjail location set, use release.
500081	jogador Unjailing	Unjailing player
500082	Você não definiu jogador atual, desculpe	You have no current player set, sorry
500083	Local de liberação inválida	Invalid release location
500084	Desculpe, isso iria transferir um jogador não-ouro para uma área Gold.	Sorry, that would transfer a non-Gold player to a Gold area.
500085	Liberando jogador	Releasing player
500086	Você não definiu jogador atual, desculpe	You have no current player set, sorry
500087	GM pedido de ajuda entrou.	GM help request entered.
500088	comando desconhecido conselheiro	Unknown counselor command
500089	Nenhuma corrente pedido de ajuda.	No current help request.
500090	Indo para jogador atual	Going to current player
500091	ajuda atual solicitação inválida	Current help request invalid
500092	Removido jogador anterior da fila	Removed previous player from queue
500093	Não há entradas da fila pendentes	There are no pending queue entries
500094	Indo para o próximo jogador	Going to next player
500095	pedido transferidos para a fila de GM	Transfered request to GM queue
500096	Você não definiu jogador atual, desculpe	You have no current player set, sorry
500097	pedido jogador abandonou	Player request relinquished
500098	Essa entrada de fila não existe	That queue entry does not exist
500099	pedido jogador abandonou	Player request relinquished
500100	Localização inválida	Invalid location
500101	pedido jogador abandonou	Player request relinquished
500102	Você não definiu jogador atual, desculpe	You have no current player set, sorry
500103	pedido jogador apagada da fila	Player request cleared from queue
500104	Você não definiu jogador atual, desculpe	You have no current player set, sorry
500105	solicitação inválida, pedido jogador apagada da fila	Invalid request, player request cleared from queue
500106	Você não está lidar com um pedido de ajuda	You are not currently handling a help request
500107	Sem esse tipo de jogador.	No such player.
500108	Sua montaria está cansada demais para continuar.	Your mount is too fatigued to move.
500109	Você está muito cansado para se mover, pois está carregando muito peso!	You are too fatigued to move, because you are carrying too much weight!
500110	Você está muito cansado para se mover.	You are too fatigued to move.
500111	Você está congelado e não pode se mover.	You are frozen and cannot move.
500112	Você está agora sob a proteção dos guardas da cidade.	You are now under the protection of the town guards.
500113	Você deixou a protecção dos guardas da cidade.	You have left the protection of the town guards.
500114	Você está agora sob a proteção dos guardas da cidade. Grito para os guardas ", se você se encontra em necessidade!	You are now under the protection of the town guards.  Cry out for the 'guards' if you find yourself in need!
500115	Cuidado! Você deixou a protecção dos guardas da cidade e têm muito menos proteção contra o ataque! Você deve voltar para a cidade, se você ainda não está preparado!	Beware! You have left the protection of the town guards and have considerably less protection from attack!  You should head back toward town if you are not yet prepared!
500116	Seu espírito reencontra seu corpo.	Your spirit rejoins your body.
500117	Com algum esforço, você se reunir seu espírito e seu corpo.	With some effort, you reunite your spirit and your body.
500118	Você deve esperar alguns momentos para usar outra habilidade.	You must wait a few moments to use another skill.
500119	Você deve esperar para executar outra ação.	You must wait to perform another action.
500120	O seu crime é considerado auto-defesa.	Your crime is considered self-defense.
500121	Notoriedade queria deixar, mas Oneway impediu.	Notoriety wanted to drop, but oneWay prevented it.
500122	Notoriedade queria levantar, mas Oneway impediu.	Notoriety wanted to raise, but oneWay prevented it.
500123	Grupo formado e membro do agregado	Group formed and member added
500124	Grupo formado.	Group formed.
500125	Deixei o meu grupo e nomeei um novo líder.	I left my group, and appointed a new leader.
500126	O grupo se desfez!	Group disbanded!
500127	Eu juntei um grupo.	I've joined a group.
500128	Eu deixei um grupo.	I've left a group.
500129	Atacando um animal de estimação!	Attacking a pet!
500130	Tu não tem o ouro para pagar por seus crimes. Para isso, você morre.	Thou has not the gold to pay for your crimes.  For that, you die.
500131	Hás de lamentar tuas acções, suínos!	Thou wilt regret thine actions, swine!
500132	Estou cansado!	I am fatigued!
500133	Sua montaria é muito cansado.	Your mount is very fatigued.
500134	Você parar de meditar.	You stop meditating.
500135	forças regenerativas não pode penetrar sua armadura.	Regenerative forces cannot penetrate your armor.
500136	Reconectando.	Reconnecting.
500137	Chamando IsMoveable .....	Calling IsMoveable.....
500138	mulitcomp, Não Vá	mulitcomp, No Go
500139	edição, OK	editing, OK
500140	No Draw, Não Vá	No Draw, No Go
500141	Corpse, No GO	Corpse, No GO
500142	Para pesada ou algo assim, não vá	To heavy or something, no go
500143	Peso Verificar diz OK	Weight Check says OK
500144	Tile Gestor aprovado, OK	Tile Manager approved, OK
500145	Caiu inferior da IsMoveable, No GO	Fell off bottom of IsMoveable, No GO
500146	Não foram encontrados de ID duplicado.	No Duplicate Id's found.
500147	Compressão ainda não foi implementado.	Compression not yet implemented.
500148	Formato: set <meta> <variável> <valor>	Format: set <target> <variable> <value>
500149	vars: força, destreza, inteligência, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, matiz, notoriedade, fama, karma, nome, corpo, habilidade, localização, naturalac, naturalwc, tithingpoints, raça, sexo	vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints, race, sex
500150	Formato: set <meta> <variável> <valor>	Format: set <target> <variable> <value>
500151	vars: força, destreza, inteligência, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, matiz, notoriedade, fama, karma, nome, corpo, habilidade, localização, naturalac, naturalwc, tithingpoints, raça, sexo	vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints, race, sex
500152	Alvo não encontrado.	Target not found.
500153	Localização inválida	Invalid location
500154	Uso: definir o local de destino [w #] x y [z]	Usage: set target location [w#] x y [z]
500155	Formato: set <meta> habilidade <valor>	Format: set <target> skill <value>
500156	habilidade inválido	Invalid skill
500157	Formato: set <meta> skillmod <valor>	Format: set <target> skillmod <value>
500158	habilidade inválido	Invalid skill
500159	Formato: consulta <target> <variável>	Format: query <target> <variable>
500160	Vars: força, destreza, inteligência, strengthmod, dexteritymod, intelligencemod, fome, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, sorte, nightsight, reflectphysicaldamage, potionstrength, attackchance, defensechance, spelldamage, castrecovery, castspeed, Manacost, reagentcost, swingspeed, damagemodifier, raça, sexo, resistir <type> [max], notoriedade, fama, karma, adjfame, adjkarma, corpo, habilidade <num>, skillval, skillmod, updaterange, CreationTime	Vars: strength, dexterity, intelligence, strengthmod, dexteritymod, intelligencemod, hunger, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, luck, nightsight, reflectphysicaldamage, potionstrength, attackchance, defensechance, spelldamage, castrecovery, castspeed, manacost, reagentcost, swingspeed, damagemodifier, race, sex, resist <type> [max], notoriety, fame, karma, adjfame, adjkarma, body, skill <num>, skillval, skillmod, updaterange, creationtime
500161	Alvo não encontrado.	Target not found.
500162	Formato: add <meta> <variável> <valor>	Format: add <target> <variable> <value>
500163	vars: força, destreza, inteligência, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue	vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue
500164	Alvo não encontrado.	Target not found.
500165	Variável não encontrado.	Variable not found.
500166	Eu não estou dizendo a você o quanto isso tem nele ..	I'm not telling you how much this has in it..
500167	Agora você é um criminoso.	You are now a criminal.
500168	Você não pode dizer nada neste momento	You cannot say anything at this time; you have been muted.
500169	Você não pode pegar isso.	You cannot pick that up.
500170	Você não pode pegar isso.	You cannot pick that up.
500171	Você está cansado demais para levantar um dedo, muito menos qualquer outra coisa.	You are too tired to lift a finger, much less anything else.
500172	Eu não conseguiram roubar.	I failed to steal.
500173	Alguém tentou roubar de você.	Someone tried to steal from you.
500174	Você rouba o item com êxito!	You successfully steal the item!
500175	Este artigo precisa de recursos.	This item needs resources.
500176	Isso não é o seu recipiente, você não pode guardar as coisas aqui.	That is not your container, you can't store things here.
500177	O acesso ao banco não mais permitidos.	Access to bank not allowed anymore.
500178	O acesso ao banco não mais permitidos.	Access to bank not allowed anymore.
500179	Essa magia já está presente nesse livro de feitiços.	That spell is already present in that spellbook.
500180	Os seus poderes divinos permitem que você excesso de encher o recipiente.	Your godly powers allow you to over-fill the container.
500181	Os seus poderes divinos permitem que você excesso de encher o recipiente.	Your godly powers allow you to over-fill the container.
500182	Você não pode pedir ajuda ao personalizar uma casa, a transferência de um personagem ou durante a visita guiada do Wanderer.	You cannot request help while customizing a house, transferring a character or during the Wanderer's guided tour.
500183	A próxima disponíveis conselheiro ou mestre jogo irá responder o mais rapidamente possível.	The next available counselor or game master will respond as soon as possible.
500184	A próxima mestre de jogo disponíveis irá responder o mais rapidamente possível.	The next available game master will respond as soon as possible.
500185	O próximo conselheiro disponíveis irá responder o mais rapidamente possível.	The next available counselor will respond as soon as possible.
500186	Saudações. Olhe ao redor.	Greetings.  Have a look around.
500187	Seu pedido não pode ser cumprida, por favor tente novamente.	Your order cannot be fulfilled, please try again.
500188	Seu pedido não pode ser cumprida, por favor tente novamente.	Your order cannot be fulfilled, please try again.
500189	Seu pedido não pode ser cumprida, por favor tente novamente.	Your order cannot be fulfilled, please try again.
500190	Tu não comprou nada!	Thou hast bought nothing!
500191	Implorando teu perdão, mas a tua conta bancária não tem esses fundos.	Begging thy pardon, but thy bank account lacks these funds.
500192	Implorando teu perdão, mas tu não podes dar a esse luxo.	Begging thy pardon, but thou canst not afford that.
500193	Eu não vou comprar de você, nunca.	I will not buy from you, ever.
500194	Você só pode vender 5 itens de uma vez!	You can only sell 5 items at a time!
500195	Não é possível concluir o seu pedido.	Unable to complete your request.
500196	Você não pode vender recipientes a menos que eles estão vazios.	You may not sell containers unless they are empty.
500197	Tu não ofereceu nada!	Thou hast offered nothing!
500198	Não é possível concluir o seu pedido.	Unable to complete your request.
500199	Ahh! Temos estado a olhar para isso!	Ahh!  We've been looking for that!
500200	Eu não tenho nenhuma necessidade para isso.	I have no need for that.
500201	Eu não posso morrer.	I cannot die.
500202	A magia falhou	Spell failed
500203	Não tem mana suficiente	Not enough mana
500204	Você não pode dizer nada neste momento	You cannot say anything at this time; you have been muted.
500205	Você não pode ficar em uma montagem que está lutando.	You can't get on a mount that's fighting.
500206	Isso é muito longe para montar.	That is too far away to ride.
500207	O livro de feitiços deve estar em sua mochila (e não em um recipiente dentro) para abrir.	The spellbook must be in your backpack (and not in a container within) to open.
500208	Ele parece estar em branco.	It appears to be blank.
500209	Você não pode espreitar para dentro do recipiente.	You cannot peek into the container.
500210	Você falhou a espreitar para dentro do recipiente.	You failed to peek into the container.
500211	Você está cansado demais para levantar um dedo.	You are too tired to lift a finger.
500212	Você falhou a espreitar para dentro do recipiente.	You failed to peek into the container.
500213	Você não é forte o suficiente para equipar isso.	You are not strong enough to equip that.
500214	Você já tem algo em ambas as mãos.	You already have something in both hands.
500215	Você só pode empunhar uma arma de cada vez.	You can only wield one weapon at a time.
500216	Você deve ter ambas as mãos livres para empunhar esta arma.	You must have both hands free to wield this weapon.
500217	Sua mão direita deve ser livre para exercer essa arma.	Your right hand must be free to wield this weapon.
500218	Sua mão esquerda deve ser livre para exercer essa arma.	Your left hand must be free to wield this weapon.
500219	Você já está empunhando uma arma de duas mãos.	You are already wielding a two handed weapon.
500220	OW! QUE SMARTS!	OW!  THAT SMARTS!
500221	Ha ha! Sentiu minha falta!	Ha ha!  Missed me!
500222	Em que devo cozinha isto?	What should I cook this on?
500223	Em que devo cozinha isto?	What should I cook this on?
500224	Em que devo cozinha isto?	What should I cook this on?
500225	Em que devo cozinha isto?	What should I cook this on?
500226	Em que devo cozinha isto?	What should I cook this on?
500227	pilha de placas	pile of boards
500228	pilha de placas	pile of boards
500229	estaca de madeira	woodpile
500230	estaca de madeira	woodpile
500231	Você se sente curado do veneno!	You feel cured of poison!
500232	Essa poção não era forte o suficiente para curar a sua doença!	That potion was not strong enough to cure your ailment!
500233	Você já está envenenado.	You are already poisoned.
500234	Isso teria envenenado, se você não eram novos para a terra de Britannia. Tenha cuidado no futuro.	This would have poisoned you, if you were not new to the land of Britannia.  Be careful in the future.
500235	Você deve esperar alguns segundos antes de usar outra poção de cura.	You must wait a few seconds before using another healing potion.
500236	Você deve jogá-lo agora!	You should throw it now!
500237	Alvo não pode ser visto.	Target cannot be seen.
500238	Escolha um ingrediente para misturar com ou um fogo para cozinhar.	Select an ingredient to mix with or a fire to cook on.
500239	padrão	default
500240	Em que devo cozinha isto?	What should I cook this on?
500241	nome incorreto	name incorrect
500242	Em que devo cozinha isto?	What should I cook this on?
500243	Você cozinhar a torta.	You cook the pie.
500244	Em que devo cozinha isto?	What should I cook this on?
500245	Hora de começar a abertura.	Time to start opening.
500246	Ainda abertura.	Still opening.
500247	Cortina é aberta agora.	Curtain is open now.
500248	Hora de começar a abertura.	Time to start opening.
500249	Ainda abertura.	Still opening.
500250	Cortina é aberta agora.	Curtain is open now.
500251	Essa localização é muito longe.	That location is too far away.
500252	Um navio não pode ser criado aqui.	A ship cannot be created here.
500253	max =	max = 
500254	rate =	rate = 
500255	level =	level = 
500256	satisfação =	satisfaction = 
500257	Em que devo cozinha isto?	What should I cook this on?
500258	Em que devo cozinha isto?	What should I cook this on?
500259	Entrar na área de operação para a varredura do terreno, em formato (x, y) (x, y):	Enter the area of operation for the terrain scan, in (x, y) (x, y) format:
500260	Definição de área de operações canceladas.	Setting of operations area cancelled.
500261	Formato para a área de operações incorretas.	Format for operations area incorrect.
500262	Terrain varredura completa.	Terrain scan complete.
500263	* Sangue ácido cicatrizes sua arma! *	*Acid blood scars your weapon!*
500264	Honestamente, eu não sou uma chave.	Honestly, I'm not a key.
500265	Honestamente, eu não sou uma chave.	Honestly, I'm not a key.
500266	O que você gostaria de acrescentar?	What would you like to add?
500267	Sem tipo definido! ERRO.	No type defined! ERROR.
500268	Este objectivo tem de ser montado em algo.	This object needs to be mounted on something.
500269	Você não pode construir que não.	You cannot build that there.
500270	Você não pode construir que não.	You cannot build that there.
500271	Você não pode construir perto da porta.	You cannot build near the door.
500272	Você não pode construir perto das escadas.	You cannot build near the stairs.
500273	Esta ação add-on é em branco.	This add-on deed is blank.
500274	Você só pode colocar isto em uma casa que você possui!	You can only place this in a house that you own!
500275	Você só pode construir isso em uma casa.	You can only build this in a house.
500276	Você só pode colocar isto em uma casa que você possui!	You can only place this in a house that you own!
500277	Construção abortada. Por favor, tente novamente.	Construction aborted. Please try again.
500278	Como um jovem jogador, você não pode lançar feitiços benéficos para os jogadores mais velhos.	As a young player, you may not cast beneficial spells onto older players.
500279	Você despeje a poção dentro de uma garrafa ...	You pour the potion into a bottle...
500280	... E colocá-lo em sua mochila.	...and place it into your backpack.
500281	... Mas não há espaço em sua mochila.	...but there is no room in your backpack.
500282	Você cria a poção e derramá-lo no barril.	You create the potion and pour it into the keg.
500283	Esse recipiente está cheio demais para segurar sua poção.	That container is too full to hold your potion.
500284	Você é sábio não o suficiente para adicionar um tipo diferente de poção para esse barril.	You are wise enough not to add a different type of potion to that keg.
500285	Você não sabe o que está no barril, e decidir não adicionar sua mistura a ele.	You are unsure what is in the keg, and decide not to add your mixture to it.
500286	Você não foram capazes de completar o seu trabalho antes de morrer.	You were unable to complete your work before you died.
500287	Você não conseguir criar uma poção útil.	You fail to create a useful potion.
500288	Os mortos não podem fazer poções.	Dead people can't make potions.
500289	Onde está uma garrafa ou barril para sua poção?	Where is a bottle or keg for your potion?
500290	Você parar de misturar e esvaziar a argamassa.	You stop mixing and empty the mortar.
500291	Alguém está usando isso.	Someone else is using that.
500292	O reagente que gostaria de fazer a poção fora de?	What reagent would you like to make the potion out of?
500293	Você não foram capazes de completar o seu trabalho antes de morrer.	You were unable to complete your work before you died.
500294	Você não pode usar isso.	You cannot use that.
500295	Você está longe demais para fazer isso.	You are too far away to do that.
500296	Isso não é algo que você pode moer com um almofariz e pilão!	That's not something you can grind with a mortar and pestle!
500297	Isso não é um ingrediente poção.	That is not a potion ingredient.
500298	Você não está qualificado o suficiente para fazer qualquer coisa fora disso.	You are not skilled enough to make anything out of that.
500299	Isso não é um recipiente para uma poção.	That is not an appropriate container for a potion.
500300	Eles não coincidem.	They don't match.
500301	Não está lá.	It's not there.
500302	Incapaz de encontrar lista de script em barril.	Unable to find script list on keg.
500303	Uma poção está faltando o objVar "poder".	One potion is missing the 'power' objVar.
500304	Eles não coincidem.	They don't match.
500305	Uma poção está faltando o objVar 'modificador'.	One potion is missing the 'modifier' objVar.
500306	Eles não coincidem.	They don't match.
500307	Os explode mistura!	The mixture explodes!
500308	Você cheira um odor estranho!	You smell a strange odor!
500309	Nada acontece.	Nothing Happens.
500310	Você está muito ocupado com outra coisa.	You are too busy with something else.
500311	Seleccionar uma posição de aquecimento para aquecer a esta ou um reagente para adicionar à mistura.	Select a heating stand to heat this or a reagent to add to the mix.
500312	Você não pode chegar a isso.	You cannot reach that.
500313	O balão é vazio.	The flask is empty.
500314	Essa posição pertence a outra pessoa.	That stand belongs to someone else.
500315	Você precisa de uma garrafa vazia para fazer uma poção.	You need an empty bottle to make a potion.
500316	Você cria uma poção misteriosa	You create a mysterious potion
500317	Nada acontece	Nothing Happens
500318	Este balão é vazio.	This flask is empty.
500319	Você foi concedida anistia para os crimes. Britânico --Lord.	You have been granted amnesty for your crimes.  --Lord British.
500320	Que nenhuma boa ação impune! --Lord Blackthorn	Let no good deed go unpunished!  --Lord Blackthorn
500321	A quem examinar?	Whom shall I examine?
500322	Esta pessoa parece estar bom para mim, embora ele pode ter alguma notícia ...	This person looks fine to me, though he may have some news...
500323	Somente os seres vivos têm anatomias!	Only living things have anatomies!
500324	Sabe-se muito bem o suficiente.	You know yourself quite well enough already.
500325	Estou muito longe para fazer isso.	I am too far away to do that.
500326	Isso não pode ser inspecionado.	That cannot be inspected.
500327	O cansaço o impede de discernir alguma coisa útil.	Weariness prevents you from discerning anything useful.
500328	O animal que eu devo olhar?	What animal should I look at?
500329	Isso não é um animal!	That's not an animal!
500330	Isso não é um animal!	That's not an animal!
500331	Os espíritos dos mortos não são a província de lore animal.	The spirits of the dead are not the province of animal lore.
500332	Estou muito longe para fazer isso.	I am too far away to do that.
500333	Você está cansar de discernir alguma coisa útil.	You are to weary to discern anything useful.
500334	Você não pode pensar em qualquer coisa que você sabe de improviso.	You can't think of anything you know offhand.
500335	Escolha um local para criar a sua bigorna.	Choose a location to create your anvil.
500336	Você não será capaz de colocá-lo em sua mochila depois.	You will not be able to put it in your backpack afterwards.
500337	Targetobj chamada	Targetobj called
500338	Não é possível criar uma bigorna lá.	Can't create an anvil there.
500339	Não é possível criar uma bigorna lá.	Can't create an anvil there.
500340	Targetloc chamada	Targetloc called
500341	Não é possível criar uma bigorna lá.	Can't create an anvil there.
500342	Não é possível criar uma bigorna lá.	Can't create an anvil there.
500343	O que você deseja para avaliar e identificar?	What do you wish to appraise and identify?
500344	Você não pode ver que objeto bem o suficiente para identificá-lo.	You can't see that object well enough to identify it.
500345	Você não consegue se concentrar o suficiente para chegar a uma boa estimativa.	You can't concentrate enough to come up with a good estimate.
500346	Alvo não pode ser visto.	Target cannot be seen.
500347	Alvo não pode ser visto.	Target cannot be seen.
500348	Estou muito longe para fazer isso.	I am too far away to do that.
500349	O produto que você deseja obter informações sobre?	What item do you wish to get information about?
500350	Você está longe demais para dizer muito sobre ele.	You are too far away to tell much about it.
500351	Você não pode vê-lo bem o suficiente para dizer muito sobre ele.	You can't see it well enough to tell much about it.
500352	Isto não é nem arma nem armadura.	This is neither weapon nor armor.
500353	Você não está certo ...	You are not certain...
500354	Que porta você deseja adicionar ao meu keyList?	Which door do you want to add to my keylist?
500355	OK	okay
500356	Adicionado porta do meu keyList.	Added door to my keylist.
500357	Se esta alavanca nunca fez nada, ele não faz mais isso.	If this lever ever did anything, it doesn't do it anymore.
500358	A alavanca sente solto, e você percebe que já não controla nada.	The lever feels loose, and you realize it no longer controls anything.
500359	Você virar a alavanca e acho que você ouvir algo, mas perceber que era apenas a sua imaginação.	You flip the lever and think you hear something, but realize it was just your imagination.
500360	A alavanca gira sem esforço, sem fazer nada.	The lever flips without effort, doing nothing.
500361	Você virar a alavanca, e agora é ainda mais quebrado do que antes!	You flip the lever, and now its even more broken than before!
500362	Qual a mensagem que você deseja enviar para o jogador?	What message do you wish to send to the player?
500363	entrada de texto expirou	Text entry timed out
500364	Você não pode usar isso, ele pertence a outra pessoa.	You can't use that, it belongs to someone else.
500365	Que está sendo usado por outra pessoa	That is being used by someone else
500366	Seleccionar um tear para usar em que.	Select a loom to use that on.
500367	Tente usar que em um tear.	Try using that on a loom.
500368	Você cria algum pano e colocá-lo em sua mochila.	You create some cloth and put it in your backpack.
500369	Eu sou uma urna, e não um recipiente!	I'm a ballot box, not a container!
500370	Digite uma linha de texto para o seu voto, e pressione ENTER. Hit ESC após a última linha é inserida.	Enter a line of text for your ballot, and hit ENTER. Hit ESC after the last line is entered.
500371	Votos zerado.	Votes zeroed out.
500372	Você já votou nesta votação.	You have already voted on this ballot.
500373	Seu voto foi registrado.	Your vote has been registered.
500374	Você já votou nesta votação.	You have already voted on this ballot.
500375	Seu voto foi registrado.	Your vote has been registered.
500376	entrada de cédula completa.	Ballot entry complete.
500377	Próxima linha ou ESC para terminar:	Next line or ESC to finish:
500378	Tu és um criminoso e não pode acessar a tua caixa de banco.	Thou art a criminal and cannot access thy bank box.
500379	Tu tem que me dizer o quanto tu desejas retirar.	Thou must tell me how much thou wishest to withdraw.
500380	Ah, és tu tentando me enganar? Tu não tanto ouro!	Ah, art thou trying to fool me? Thou hast not so much gold!
500381	Tu não podes retirar-se tanto de uma só vez!	Thou canst not withdraw so much at one time!
500382	Tu não tem fundos suficientes na tua conta para sacar muito.	Thou dost not have sufficient funds in thy account to withdraw that much.
500383	Tu deve solicitar um mínimo de 5000 de ouro para elaborar um cheque.	Thou must request a minimum of 5000 gold to draw up a check.
500384	Ah, és tu tentando me enganar? Tu não tanto ouro!	Ah, art thou trying to fool me? Thou hast not so much gold!
500385	Tu não tem fundos suficientes na tua conta para sacar muito.	Thou dost not have sufficient funds in thy account to withdraw that much.
500386	Não há espaço suficiente em sua bankbox para a verificação!	There's not enough room in your bankbox for the check!
500387	Este não é ouro!	This is not gold!
500388	Eu aceito somente moedas de ouro.	I only accept gold coins.
500389	Eu não vou fazer negócios com um criminoso!	I will not do business with a criminal!
500390	Sua caixa de banco é completo.	Your bank box is full.
500391	Uma conta bancária só pode ser titular de 65.000 ouro no momento.	A bank account can only hold 65,000 gold at the moment.
500392	Poupar algum amigo ouro?	Spare some gold friend?
500393	Apenas algumas moedas.	Just a few coins.
500394	Certamente tu pode poupar alguma coisa.	Surely thou can spare something.
500395	Não comi em dias.	I haven't eaten in days.
500396	Eu tenho filhos para alimentar.	I have children to feed.
500397	A quem você deseja rastejar?	To whom do you wish to grovel?
500398	Talvez apenas pedindo iria funcionar melhor.	Perhaps just asking would work better.
500399	Há pouca chance de conseguir o dinheiro de que!	There is little chance of getting money from that!
500400	Há pouca chance de conseguir o dinheiro de que!	There is little chance of getting money from that!
500401	Você está longe demais para implorar dele.	You are too far away to beg from him.
500402	Você está longe demais para implorar dela.	You are too far away to beg from her.
500403	Isso é muito longe. Você não poderia pedir de qualquer maneira.	That's too far away.  You couldn't beg from it anyway.
500404	Eles parecem dispostos a dar-lhe todo o dinheiro.	They seem unwilling to give you any money.
500405	Eu sinto muito por ti ...	I feel sorry for thee...
500406	Tu não olhar de confiança ... não ouro para ti hoje!	Thou dost not look trustworthy... no gold for thee today!
500407	Eu tenho o dinheiro não o suficiente para dar ti!	I have not enough money to give thee any!
500408	vítima	victim
500409	mendigo	beggar
500410	Tu não olhar de confiança ... não ouro para ti hoje!	Thou dost not look trustworthy... no gold for thee today!
500411	Eu tenho o dinheiro não o suficiente para dar ti!	I have not enough money to give thee any!
500412	Eu tenho o dinheiro não o suficiente para dar ti!	I have not enough money to give thee any!
500413	Eu tenho o dinheiro não o suficiente para dar ti!	I have not enough money to give thee any!
500414	final alcançado de implorar pathfind	reached end of begging pathfind
500415	Deixe-me ver...	Let me see...
500416	Não ouso aproximar-te muito de perto, para que os outros pensam de mim um alvo fácil ...	I dare not approach thee too closely, lest others think me an easy mark...
500417	Um sentimento de grande pressentimento o alcança.	A sense of great foreboding overtakes you.
